model_name,best_val_accuracy,final_val_accuracy,test_accuracy,test_loss,epochs_ran,train_per_class,train_total
Pretrained_1000_finetuned,0.984000027179718,0.984000027179718,0.9879999756813049,0.05386136844754219,6,500,1000
Pretrained_1400_finetuned,0.9900000095367432,0.9900000095367432,0.9760000109672546,0.06841083616018295,6,700,1400
Pretrained_1800_finetuned,0.9800000190734863,0.9800000190734863,0.9760000109672546,0.05472337082028389,6,900,1800
