model_name,best_val_accuracy,final_val_accuracy,test_accuracy,test_loss,epochs_ran,train_per_class,train_total
Scratch_Search_1800total,0.5379999876022339,0.5379999876022339,0.5559999942779541,0.7772731781005859,5,900,1800
Scratch_Search_1400total,0.5320000052452087,0.5320000052452087,0.550000011920929,0.8351835012435913,5,700,1400
Scratch_Search_800total,0.593999981880188,0.593999981880188,0.5320000052452087,0.7019702196121216,7,400,800
Scratch_Search_1000total,0.5379999876022339,0.5379999876022339,0.5260000228881836,0.735265851020813,10,500,1000
